VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX150602_Reading_Wednesday_Minutes,"Think about a normal school week, and write down how long you spend doing the following activities before and after school each day.  Reading for fun?",DCW_150602.doc,integer,minute,,,,,,PhenX,PX150602060302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX150602_Reading_Thursday_Hours,"Think about a normal school week, and write down how long you spend doing the following activities before and after school each day.  Reading for fun?",DCW_150602.doc,integer,hour,,,,,,PhenX,PX150602060401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX150602_Reading_Thursday_Minutes,"Think about a normal school week, and write down how long you spend doing the following activities before and after school each day.  Reading for fun?",DCW_150602.doc,integer,minute,,,,,,PhenX,PX150602060402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX150602_Reading_Friday_Hours,"Think about a normal school week, and write down how long you spend doing the following activities before and after school each day.  Reading for fun?",DCW_150602.doc,integer,hour,,,,,,PhenX,PX150602060501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX150602_Reading_Friday_Minutes,"Think about a normal school week, and write down how long you spend doing the following activities before and after school each day.  Reading for fun?",DCW_150602.doc,integer,minute,,,,,,PhenX,PX150602060502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX150602_Tutored_Monday_Hours,"Think about a normal school week, and write down how long you spend doing the following activities before and after school each day.  Being tutored?",DCW_150602.doc,integer,hour,,,,,,PhenX,PX150602070101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX150602_Tutored_Monday_Minutes,"Think about a normal school week, and write down how long you spend doing the following activities before and after school each day.  Being tutored?",DCW_150602.doc,integer,minute,,,,,,PhenX,PX150602070102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX150602_Tutored_Tuesday_Hours,"Think about a normal school week, and write down how long you spend doing the following activities before and after school each day.  Being tutored?",DCW_150602.doc,integer,hour,,,,,,PhenX,PX150602070201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX150602_Tutored_Tuesday_Minutes,"Think about a normal school week, and write down how long you spend doing the following activities before and after school each day.  Being tutored?",DCW_150602.doc,integer,minute,,,,,,PhenX,PX150602070202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX150602_Tutored_Wednesday_Hours,"Think about a normal school week, and write down how long you spend doing the following activities before and after school each day.  Being tutored?",DCW_150602.doc,integer,hour,,,,,,PhenX,PX150602070301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
